#Gene	chrom	start	end	Pathogenic_Lower_Bound	Motif
GeneID,PathogenicLowerBound,SimulatedSize,STR_Tool,Rank,Zscore||Pval
ATXN10,280,330,EHDN_Locus,0,0.000
ATXN10,280,380,EHDN_Locus,9,7.500
ATXN10,280,1280,EHDN_Motif,1,23.930
ATXN10,280,280,EHDN_Motif,15,2.490
ATXN10,280,290,EHDN_Motif,9,3.610
ATXN10,280,300,EHDN_Motif,20,1.400
ATXN10,280,330,EHDN_Motif,4,8.960
ATXN10,280,380,EHDN_Motif,5,8.920
ATXN10,280,1280,STRetch,1,9.5e-30
ATXN10,280,280,STRetch,1,1.1e-26
ATXN10,280,290,STRetch,1,1.1e-26
ATXN10,280,300,STRetch,1,1.5e-32
ATXN10,280,330,STRetch,5,1.9e-21
ATXN10,280,380,STRetch,1,9.3e-29
ATXN2,33,1033,EHDN_Locus,2,25.720
ATXN2,33,133,EHDN_Locus,2,27.870
ATXN2,33,33,EHDN_Locus,0,0.000
ATXN2,33,43,EHDN_Locus,0,0.000
ATXN2,33,53,EHDN_Locus,10,7.500
ATXN2,33,83,EHDN_Locus,1,20.360
ATXN2,33,1033,EHDN_Motif,1,161.490
ATXN2,33,133,EHDN_Motif,23,1.200
ATXN2,33,33,EHDN_Motif,0,0.000
ATXN2,33,43,EHDN_Motif,0,0.000
ATXN2,33,53,EHDN_Motif,0,0.000
ATXN2,33,83,EHDN_Motif,0,0.000
ATXN2,33,1033,STRetch,0,.
ATXN2,33,133,STRetch,1,2.5e-46
ATXN2,33,33,STRetch,5,1.9e-21
ATXN2,33,43,STRetch,1,1e-30
ATXN2,33,53,STRetch,1,3.9e-35
ATXN2,33,83,STRetch,1,1.5e-42
ATXN3,55,1055,EHDN_Locus,2,24.650
ATXN3,55,105,EHDN_Locus,3,16.080
ATXN3,55,155,EHDN_Locus,2,26.800
ATXN3,55,55,EHDN_Locus,0,0.000
ATXN3,55,65,EHDN_Locus,4,12.860
ATXN3,55,75,EHDN_Locus,0,0.000
ATXN3,55,1055,EHDN_Motif,1,157.250
ATXN3,55,105,EHDN_Motif,0,0.000
ATXN3,55,155,EHDN_Motif,21,1.270
ATXN3,55,55,EHDN_Motif,0,0.000
ATXN3,55,65,EHDN_Motif,0,0.000
ATXN3,55,75,EHDN_Motif,0,0.000
ATXN3,55,1055,STRetch,5,2.4e-20
ATXN3,55,105,STRetch,5,2.4e-20
ATXN3,55,155,STRetch,5,1.6e-21
ATXN3,55,55,STRetch,8,2.4e-14
ATXN3,55,65,STRetch,4,8.3e-22
ATXN3,55,75,STRetch,5,1.2e-22
ATXN7,37,1037,EHDN_Locus,1,45.020
ATXN7,37,137,EHDN_Locus,2,38.590
ATXN7,37,37,EHDN_Locus,0,0.000
ATXN7,37,47,EHDN_Locus,48,3.220
ATXN7,37,57,EHDN_Locus,16,5.360
ATXN7,37,87,EHDN_Locus,3,18.220
ATXN7,37,1037,EHDN_Motif,1,120.270
ATXN7,37,137,EHDN_Motif,17,1.920
ATXN7,37,37,EHDN_Motif,0,0.000
ATXN7,37,47,EHDN_Motif,0,0.000
ATXN7,37,57,EHDN_Motif,0,0.000
ATXN7,37,87,EHDN_Motif,0,0.000
ATXN7,37,1037,STRetch,1,8e-51
ATXN7,37,137,STRetch,1,1.7e-47
ATXN7,37,37,STRetch,1,2.7e-38
ATXN7,37,47,STRetch,1,5.9e-36
ATXN7,37,57,STRetch,1,5.9e-36
ATXN7,37,87,STRetch,1,7.6e-44
ATXN8,80,100,EHDN_Locus,3,17.060
ATXN8,80,1080,EHDN_Locus,2,21.870
ATXN8,80,130,EHDN_Locus,3,19.930
ATXN8,80,180,EHDN_Locus,4,15.590
ATXN8,80,80,EHDN_Locus,11,7.060
ATXN8,80,90,EHDN_Locus,6,10.150
ATXN8,80,100,EHDN_Motif,0,0.000
ATXN8,80,1080,EHDN_Motif,1,120.960
ATXN8,80,130,EHDN_Motif,22,1.180
ATXN8,80,180,EHDN_Motif,7,5.070
ATXN8,80,80,EHDN_Motif,0,0.000
ATXN8,80,90,EHDN_Motif,0,0.000
ATXN8,80,100,STRetch,1,6.1e-46
ATXN8,80,1080,STRetch,1,6.3e-43
ATXN8,80,130,STRetch,1,3.3e-38
ATXN8,80,180,STRetch,1,9.1e-45
ATXN8,80,80,STRetch,1,3.6e-35
ATXN8,80,90,STRetch,1,3.7e-44
C11orf80,500,1500,EHDN_Locus,3,31.080
C11orf80,500,500,EHDN_Locus,2,31.080
C11orf80,500,510,EHDN_Locus,1,51.450
C11orf80,500,520,EHDN_Locus,1,38.590
C11orf80,500,550,EHDN_Locus,2,28.940
C11orf80,500,600,EHDN_Locus,2,37.510
C11orf80,500,1500,EHDN_Motif,1,155.470
C11orf80,500,500,EHDN_Motif,1,41.910
C11orf80,500,510,EHDN_Motif,1,30.070
C11orf80,500,520,EHDN_Motif,1,51.550
C11orf80,500,550,EHDN_Motif,1,53.650
C11orf80,500,600,EHDN_Motif,1,49.380
C11orf80,500,1500,STRetch,1,2e-39
C11orf80,500,500,STRetch,1,2e-39
C11orf80,500,510,STRetch,1,2.4e-50
C11orf80,500,520,STRetch,1,8.9e-39
C11orf80,500,550,STRetch,1,2.6e-41
C11orf80,500,600,STRetch,1,4.4e-43
C9ORF72,30,1030,EHDN_Locus,2,31.060
C9ORF72,30,130,EHDN_Locus,1,45.980
C9ORF72,30,30,EHDN_Locus,4,11.660
C9ORF72,30,40,EHDN_Locus,3,14.960
C9ORF72,30,50,EHDN_Locus,2,21.420
C9ORF72,30,80,EHDN_Locus,2,38.560
C9ORF72,30,1030,EHDN_Motif,1,395.500
C9ORF72,30,130,EHDN_Motif,2,17.150
C9ORF72,30,30,EHDN_Motif,0,0.000
C9ORF72,30,40,EHDN_Motif,0,0.000
C9ORF72,30,50,EHDN_Motif,27,1.070
C9ORF72,30,80,EHDN_Motif,7,4.290
C9ORF72,30,1030,STRetch,10,3.3e-09
C9ORF72,30,130,STRetch,10,4e-12
C9ORF72,30,30,STRetch,17,4.5e-05
C9ORF72,30,40,STRetch,12,1.3e-08
C9ORF72,30,50,STRetch,10,2.3e-09
C9ORF72,30,80,STRetch,10,2e-10
CACNA1A,20,1020,EHDN_Locus,2,38.590
CACNA1A,20,120,EHDN_Locus,2,24.650
CACNA1A,20,20,EHDN_Locus,0,0.000
CACNA1A,20,30,EHDN_Locus,0,0.000
CACNA1A,20,40,EHDN_Locus,0,0.000
CACNA1A,20,70,EHDN_Locus,4,10.720
CACNA1A,20,1020,EHDN_Motif,1,134.200
CACNA1A,20,120,EHDN_Motif,0,0.000
CACNA1A,20,20,EHDN_Motif,0,0.000
CACNA1A,20,30,EHDN_Motif,0,0.000
CACNA1A,20,40,EHDN_Motif,0,0.000
CACNA1A,20,70,EHDN_Motif,0,0.000
CACNA1A,20,1020,STRetch,1,1e-45
CACNA1A,20,120,STRetch,1,3.4e-43
CACNA1A,20,20,STRetch,0,.
CACNA1A,20,30,STRetch,1,1.4e-25
CACNA1A,20,40,STRetch,8,3.2e-14
CACNA1A,20,70,STRetch,1,2.7e-34
CBL,500,1500,EHDN_Locus,3,34.300
CBL,500,500,EHDN_Locus,1,49.300
CBL,500,510,EHDN_Locus,1,51.450
CBL,500,520,EHDN_Locus,2,34.300
CBL,500,550,EHDN_Locus,2,31.080
CBL,500,600,EHDN_Locus,1,43.940
CBL,500,1500,EHDN_Motif,1,145.870
CBL,500,500,EHDN_Motif,1,38.590
CBL,500,510,EHDN_Motif,1,33.280
CBL,500,520,EHDN_Motif,1,42.890
CBL,500,550,EHDN_Motif,1,48.270
CBL,500,600,EHDN_Motif,1,46.180
CBL,500,1500,STRetch,1,1e-45
CBL,500,500,STRetch,1,9.5e-50
CBL,500,510,STRetch,1,7e-53
CBL,500,520,STRetch,1,1e-45
CBL,500,550,STRetch,1,1e-45
CBL,500,600,STRetch,1,2.5e-46
CNBP,50,100,EHDN_Locus,2,25.720
CNBP,50,1050,EHDN_Locus,1,42.870
CNBP,50,150,EHDN_Locus,2,37.510
CNBP,50,50,EHDN_Locus,3,17.150
CNBP,50,60,EHDN_Locus,1,30.010
CNBP,50,70,EHDN_Locus,2,21.440
CNBP,50,100,EHDN_Motif,0,0.000
CNBP,50,1050,EHDN_Motif,1,195.070
CNBP,50,150,EHDN_Motif,2,13.860
CNBP,50,50,EHDN_Motif,0,0.000
CNBP,50,60,EHDN_Motif,0,0.000
CNBP,50,70,EHDN_Motif,0,0.000
CNBP,50,100,STRetch,1,4e-32
CNBP,50,1050,STRetch,1,9.1e-34
CNBP,50,150,STRetch,1,2.2e-43
CNBP,50,50,STRetch,1,1.3e-26
CNBP,50,60,STRetch,1,6.4e-39
CNBP,50,70,STRetch,1,2.1e-30
COMP,6,1006,EHDN_Locus,1,51.450
COMP,6,106,EHDN_Locus,2,31.080
COMP,6,16,EHDN_Locus,0,0.000
COMP,6,26,EHDN_Locus,0,0.000
COMP,6,56,EHDN_Locus,50,3.220
COMP,6,6,EHDN_Locus,0,0.000
COMP,6,1006,EHDN_Motif,1,158.630
COMP,6,106,EHDN_Motif,0,0.000
COMP,6,16,EHDN_Motif,0,0.000
COMP,6,26,EHDN_Motif,0,0.000
COMP,6,56,EHDN_Motif,0,0.000
COMP,6,6,EHDN_Motif,0,0.000
COMP,6,1006,STRetch,0,.
COMP,6,106,STRetch,0,.
COMP,6,16,STRetch,0,.
COMP,6,26,STRetch,0,.
COMP,6,56,STRetch,0,.
COMP,6,6,STRetch,0,.
CSTB,40,1040,EHDN_Locus,0,0.000
CSTB,40,140,EHDN_Locus,0,0.000
CSTB,40,40,EHDN_Locus,0,0.000
CSTB,40,50,EHDN_Locus,0,0.000
CSTB,40,60,EHDN_Locus,0,0.000
CSTB,40,90,EHDN_Locus,0,0.000
CSTB,40,1040,EHDN_Motif,0,0.000
CSTB,40,140,EHDN_Motif,0,0.000
CSTB,40,40,EHDN_Motif,0,0.000
CSTB,40,50,EHDN_Motif,0,0.000
CSTB,40,60,EHDN_Motif,0,0.000
CSTB,40,90,EHDN_Motif,0,0.000
CSTB,40,1040,STRetch,0,.
CSTB,40,140,STRetch,0,.
CSTB,40,40,STRetch,0,.
CSTB,40,50,STRetch,0,.
CSTB,40,60,STRetch,0,.
CSTB,40,90,STRetch,0,.
DIP2B,500,1500,EHDN_Locus,3,36.430
DIP2B,500,500,EHDN_Locus,2,36.440
DIP2B,500,510,EHDN_Locus,2,37.440
DIP2B,500,520,EHDN_Locus,1,41.790
DIP2B,500,550,EHDN_Locus,1,46.090
DIP2B,500,600,EHDN_Locus,2,36.440
DIP2B,500,1500,EHDN_Motif,1,145.870
DIP2B,500,500,EHDN_Motif,1,34.400
DIP2B,500,510,EHDN_Motif,1,36.530
DIP2B,500,520,EHDN_Motif,1,39.700
DIP2B,500,550,EHDN_Motif,1,36.480
DIP2B,500,600,EHDN_Motif,1,47.200
DIP2B,500,1500,STRetch,533,0.74
DIP2B,500,500,STRetch,541,0.74
DIP2B,500,510,STRetch,545,0.74
DIP2B,500,520,STRetch,546,0.74
DIP2B,500,550,STRetch,558,0.74
DIP2B,500,600,STRetch,533,0.74
DMPK,50,100,EHDN_Locus,2,28.940
DMPK,50,1050,EHDN_Locus,2,35.370
DMPK,50,150,EHDN_Locus,2,27.870
DMPK,50,50,EHDN_Locus,27,4.290
DMPK,50,60,EHDN_Locus,3,12.860
DMPK,50,70,EHDN_Locus,3,16.080
DMPK,50,100,EHDN_Motif,0,0.000
DMPK,50,1050,EHDN_Motif,1,181.320
DMPK,50,150,EHDN_Motif,11,3.230
DMPK,50,50,EHDN_Motif,0,0.000
DMPK,50,60,EHDN_Motif,0,0.000
DMPK,50,70,EHDN_Motif,0,0.000
DMPK,50,100,STRetch,1,6.1e-44
DMPK,50,150,STRetch,1,2.3e-41
DMPK,50,50,STRetch,1,3e-31
DMPK,50,60,STRetch,1,3.8e-32
DMPK,50,70,STRetch,1,7.2e-34
FMR1,200,1200,EHDN_Locus,2,47.620
FMR1,200,200,EHDN_Locus,2,34.780
FMR1,200,210,EHDN_Locus,1,50.990
FMR1,200,220,EHDN_Locus,2,34.770
FMR1,200,250,EHDN_Locus,2,40.150
FMR1,200,300,EHDN_Locus,1,43.340
FMR1,200,1200,EHDN_Motif,1,119.040
FMR1,200,200,EHDN_Motif,3,8.670
FMR1,200,210,EHDN_Motif,3,10.780
FMR1,200,220,EHDN_Motif,1,15.090
FMR1,200,250,EHDN_Motif,5,9.640
FMR1,200,300,EHDN_Motif,1,25.740
FMR1,200,1200,STRetch,10,1.3e-08
FMR1,200,200,STRetch,15,3e-06
FMR1,200,210,STRetch,11,8.6e-09
FMR1,200,220,STRetch,16,9.2e-07
FMR1,200,250,STRetch,17,4.3e-07
FMR1,200,300,STRetch,15,6.6e-08
FRA10AC1,200,1200,STRetch,1,1.7e-40
FRA10AC1,200,200,STRetch,1,6.2e-41
FRA10AC1,200,210,STRetch,1,1.4e-39
FRA10AC1,200,220,STRetch,1,4.9e-40
FRA10AC1,200,250,STRetch,1,4.9e-40
FRA10AC1,200,300,STRetch,1,1.7e-40
FXN,66,1066,EHDN_Locus,2,37.510
FXN,66,116,EHDN_Locus,2,33.230
FXN,66,166,EHDN_Locus,2,38.590
FXN,66,66,EHDN_Locus,2,19.290
FXN,66,76,EHDN_Locus,2,19.290
FXN,66,86,EHDN_Locus,2,24.650
FXN,66,1066,EHDN_Motif,5,9.630
FXN,66,116,EHDN_Motif,0,0.000
FXN,66,166,EHDN_Motif,0,0.000
FXN,66,66,EHDN_Motif,0,0.000
FXN,66,76,EHDN_Motif,0,0.000
FXN,66,86,EHDN_Motif,0,0.000
FXN,66,1066,STRetch,5,1.1e-18
FXN,66,116,STRetch,7,8.1e-16
FXN,66,166,STRetch,7,8.1e-16
FXN,66,66,STRetch,19,0.00017
FXN,66,76,STRetch,10,1.1e-08
FXN,66,86,STRetch,10,1.1e-10
GLS,650,1650,EHDN_Locus,1,48.230
GLS,650,650,EHDN_Locus,2,38.590
GLS,650,660,EHDN_Locus,1,37.510
GLS,650,670,EHDN_Locus,2,40.730
GLS,650,750,EHDN_Locus,2,39.660
GLS,650,1650,EHDN_Motif,1,189.120
GLS,650,650,EHDN_Motif,1,67.060
GLS,650,660,EHDN_Motif,1,100.270
GLS,650,670,EHDN_Motif,1,66.840
GLS,650,750,EHDN_Motif,1,94.310
GLS,650,1650,STRetch,1,2e-50
GLS,650,650,STRetch,1,2.4e-41
GLS,650,660,STRetch,1,1.3e-42
GLS,650,670,STRetch,1,7.5e-44
GLS,650,750,STRetch,1,7.5e-44
HTT,36,1036,EHDN_Locus,2,25.720
HTT,36,136,EHDN_Locus,2,39.660
HTT,36,46,EHDN_Locus,8,7.500
HTT,36,56,EHDN_Locus,2,18.220
HTT,36,86,EHDN_Locus,2,26.800
HTT,36,1036,EHDN_Motif,1,91.800
HTT,36,136,EHDN_Motif,16,2.080
HTT,36,46,EHDN_Motif,0,0.000
HTT,36,56,EHDN_Motif,0,0.000
HTT,36,86,EHDN_Motif,0,0.000
HTT,36,1036,STRetch,1,4.8e-32
HTT,36,136,STRetch,1,8.1e-44
HTT,36,46,STRetch,10,1.7e-10
HTT,36,56,STRetch,1,3e-26
HTT,36,86,STRetch,1,3.6e-39
JPH3,41,1041,EHDN_Locus,2,31.080
JPH3,41,141,EHDN_Locus,2,39.660
JPH3,41,41,EHDN_Locus,0,0.000
JPH3,41,51,EHDN_Locus,9,7.500
JPH3,41,61,EHDN_Locus,10,7.500
JPH3,41,1041,EHDN_Motif,1,107.410
JPH3,41,141,EHDN_Motif,9,3.560
JPH3,41,41,EHDN_Motif,0,0.000
JPH3,41,51,EHDN_Motif,0,0.000
JPH3,41,61,EHDN_Motif,0,0.000
JPH3,41,1041,STRetch,1,7.6e-44
JPH3,41,141,STRetch,1,2.5e-46
JPH3,41,41,STRetch,1,3.9e-35
JPH3,41,51,STRetch,1,1.5e-32
JPH3,41,61,STRetch,1,1e-30
NUTM2B-AS1,90,100,EHDN_Locus,0,0.000
NUTM2B-AS1,90,1090,EHDN_Locus,0,0.000
NUTM2B-AS1,90,110,EHDN_Locus,0,0.000
NUTM2B-AS1,90,140,EHDN_Locus,0,0.000
NUTM2B-AS1,90,190,EHDN_Locus,0,0.000
NUTM2B-AS1,90,90,EHDN_Locus,0,0.000
NUTM2B-AS1,90,100,EHDN_Motif,23,1.160
NUTM2B-AS1,90,1090,EHDN_Motif,1,194.030
NUTM2B-AS1,90,110,EHDN_Motif,0,0.000
NUTM2B-AS1,90,140,EHDN_Motif,16,2.150
NUTM2B-AS1,90,190,EHDN_Motif,5,7.570
NUTM2B-AS1,90,90,EHDN_Motif,0,0.000
NUTM2B-AS1,90,100,STRetch,0,.
NUTM2B-AS1,90,1090,STRetch,0,.
NUTM2B-AS1,90,110,STRetch,0,.
NUTM2B-AS1,90,140,STRetch,0,.
NUTM2B-AS1,90,190,STRetch,0,.
NUTM2B-AS1,90,90,STRetch,0,.
LRP12,90,100,EHDN_Locus,2,33.230
LRP12,90,1090,EHDN_Locus,3,34.300
LRP12,90,110,EHDN_Locus,2,26.800
LRP12,90,140,EHDN_Locus,2,31.080
LRP12,90,190,EHDN_Locus,1,35.370
LRP12,90,90,EHDN_Locus,2,34.300
LRP12,90,100,EHDN_Motif,0,0.000
LRP12,90,1090,EHDN_Motif,1,110.460
LRP12,90,110,EHDN_Motif,0,0.000
LRP12,90,140,EHDN_Motif,24,1.080
LRP12,90,190,EHDN_Motif,3,9.740
LRP12,90,90,EHDN_Motif,0,0.000
LRP12,90,100,STRetch,1,2.5e-46
LRP12,90,1090,STRetch,1,4.5e-48
LRP12,90,110,STRetch,1,1.7e-47
LRP12,90,140,STRetch,1,4.2e-45
LRP12,90,190,STRetch,1,1.5e-42
LRP12,90,90,STRetch,1,4.5e-48
NOP56,1500,1500,EHDN_Locus,2,27.870
NOP56,1500,1510,EHDN_Locus,1,41.800
NOP56,1500,1520,EHDN_Locus,1,35.370
NOP56,1500,1550,EHDN_Locus,2,30.010
NOP56,1500,1600,EHDN_Locus,1,47.160
NOP56,1500,2500,EHDN_Locus,2,39.660
NOP56,1500,1500,EHDN_Motif,1,565.930
NOP56,1500,1510,EHDN_Motif,1,584.150
NOP56,1500,1520,EHDN_Motif,1,579.860
NOP56,1500,1550,EHDN_Motif,1,605.580
NOP56,1500,1600,EHDN_Motif,1,619.520
NOP56,1500,2500,EHDN_Motif,1,950.710
NOP56,1500,1500,STRetch,1,2.3e-36
NOP56,1500,1510,STRetch,1,5.4e-40
NOP56,1500,1520,STRetch,1,3.1e-38
NOP56,1500,1550,STRetch,1,1.1e-33
NOP56,1500,1600,STRetch,1,8.9e-44
NOP56,1500,2500,STRetch,1,2.9e-43
NBPF19,90,100,EHDN_Locus,0,0.000
NBPF19,90,110,EHDN_Locus,0,0.000
NBPF19,90,140,EHDN_Locus,0,0.000
NBPF19,90,190,EHDN_Locus,0,0.000
NBPF19,90,90,EHDN_Locus,85,2.140
NBPF19,90,100,EHDN_Motif,0,0.000
NBPF19,90,110,EHDN_Motif,23,1.100
NBPF19,90,140,EHDN_Motif,7,5.350
NBPF19,90,190,EHDN_Motif,3,12.910
NBPF19,90,90,EHDN_Motif,0,0.000
NBPF19,90,100,STRetch,0,.
NBPF19,90,1090,STRetch,0,.
NBPF19,90,110,STRetch,0,.
NBPF19,90,140,STRetch,0,.
NBPF19,90,190,STRetch,0,.
NBPF19,90,90,STRetch,0,.
PPP2R2B,43,1043,EHDN_Locus,2,26.800
PPP2R2B,43,143,EHDN_Locus,2,35.370
PPP2R2B,43,43,EHDN_Locus,0,0.000
PPP2R2B,43,53,EHDN_Locus,15,5.360
PPP2R2B,43,63,EHDN_Locus,12,6.430
PPP2R2B,43,93,EHDN_Locus,2,25.720
PPP2R2B,43,1043,EHDN_Motif,1,127.680
PPP2R2B,43,143,EHDN_Motif,22,1.270
PPP2R2B,43,43,EHDN_Motif,0,0.000
PPP2R2B,43,53,EHDN_Motif,0,0.000
PPP2R2B,43,63,EHDN_Motif,0,0.000
PPP2R2B,43,93,EHDN_Motif,0,0.000
PPP2R2B,43,1043,STRetch,1,1.8e-44
PPP2R2B,43,143,STRetch,1,7.6e-44
PPP2R2B,43,43,STRetch,1,1e-30
PPP2R2B,43,53,STRetch,1,9.5e-30
PPP2R2B,43,63,STRetch,1,1.5e-32
PPP2R2B,43,93,STRetch,1,3.4e-43
TBP,43,1043,EHDN_Locus,2,39.650
TBP,43,143,EHDN_Locus,2,35.370
TBP,43,43,EHDN_Locus,0,0.000
TBP,43,53,EHDN_Locus,28,4.290
TBP,43,63,EHDN_Locus,6,9.650
TBP,43,93,EHDN_Locus,4,15.010
TBP,43,1043,EHDN_Motif,1,43.790
TBP,43,143,EHDN_Motif,0,0.000
TBP,43,43,EHDN_Motif,0,0.000
TBP,43,53,EHDN_Motif,0,0.000
TBP,43,63,EHDN_Motif,0,0.000
TBP,43,93,EHDN_Motif,0,0.000
TBP,43,1043,STRetch,1,2.3e-44
TBP,43,143,STRetch,1,2.3e-44
TBP,43,43,STRetch,5,1.8e-19
TBP,43,53,STRetch,4,4.1e-23
TBP,43,63,STRetch,1,9.1e-25
TBP,43,93,STRetch,1,2.9e-41
TCF4,40,1040,EHDN_Locus,2,24.460
TCF4,40,140,EHDN_Locus,2,33.080
TCF4,40,40,EHDN_Locus,11,7.380
TCF4,40,50,EHDN_Locus,4,15.780
TCF4,40,60,EHDN_Locus,3,16.280
TCF4,40,90,EHDN_Locus,2,28.850
TCF4,40,1040,EHDN_Motif,1,143.130
TCF4,40,140,EHDN_Motif,8,3.710
TCF4,40,40,EHDN_Motif,0,0.000
TCF4,40,50,EHDN_Motif,0,0.000
TCF4,40,60,EHDN_Motif,0,0.000
TCF4,40,90,EHDN_Motif,0,0.000
TCF4,40,1040,STRetch,1,1.4e-34
TCF4,40,140,STRetch,1,1.4e-36
TCF4,40,40,STRetch,13,8e-06
TCF4,40,50,STRetch,1,3.8e-30
TCF4,40,60,STRetch,1,1.6e-28
TCF4,40,90,STRetch,1,3e-35
TMEM185A,300,1300,EHDN_Locus,2,42.870
TMEM185A,300,300,EHDN_Locus,2,37.510
TMEM185A,300,310,EHDN_Locus,2,36.440
TMEM185A,300,320,EHDN_Locus,2,38.590
TMEM185A,300,350,EHDN_Locus,1,37.510
TMEM185A,300,400,EHDN_Locus,2,32.150
TMEM185A,300,1300,EHDN_Motif,1,130.820
TMEM185A,300,300,EHDN_Motif,3,15.090
TMEM185A,300,310,EHDN_Motif,2,11.840
TMEM185A,300,320,EHDN_Motif,1,15.050
TMEM185A,300,350,EHDN_Motif,1,26.830
TMEM185A,300,400,EHDN_Motif,1,22.590
TMEM185A,300,1300,STRetch,531,0.74
TMEM185A,300,300,STRetch,534,0.74
TMEM185A,300,310,STRetch,541,0.74
TMEM185A,300,320,STRetch,529,0.74
TMEM185A,300,350,STRetch,525,0.74
TMEM185A,300,400,STRetch,525,0.74
XYLT1,500,1500,EHDN_Locus,2,43.930
XYLT1,500,500,EHDN_Locus,2,37.480
XYLT1,500,510,EHDN_Locus,1,42.870
XYLT1,500,520,EHDN_Locus,1,48.210
